# zl, zs1, zs2, rein1, rein2, beta, betaerr, SN1, SN2, mag1, mag2, sigma_v_km_s
# Warning: oversampling is by a factor of 1
4.560000000000000164e-01 2.266999999999999904e+00 2.572999999999999954e+00 7.870000000000000329e-01 8.100000000000000533e-01 9.723000000000000531e-01 1.980000000000000163e-02 5.678000000000000114e+01 2.229400000000000048e+01 3.181999999999999940e+00 3.766000000000000014e+00 1.998015750840780811e+02
1.100000000000000006e-01 1.016000000000000014e+00 1.356000000000000094e+00 2.075000000000000178e+00 2.134999999999999787e+00 9.717999999999999972e-01 1.170000000000000033e-02 5.923700000000000188e+01 2.339900000000000091e+01 4.604000000000000092e+00 3.283999999999999808e+00 2.889360343947822116e+02
4.410000000000000031e-01 1.062999999999999945e+00 2.407000000000000028e+00 7.840000000000000302e-01 1.082000000000000073e+00 7.247000000000000108e-01 1.349999999999999985e-02 6.375600000000000023e+01 9.362099999999999511e+01 1.014400000000000013e+01 3.096999999999999975e+00 2.312221423363207577e+02
1.389999999999999902e+00 2.851999999999999869e+00 3.559000000000000163e+00 6.209999999999999964e-01 7.379999999999999893e-01 8.420999999999999597e-01 1.959999999999999937e-02 2.280699999999999861e+01 2.215299999999999869e+01 9.739000000000000767e+00 4.841000000000000192e+00 2.558052102003517234e+02
2.059999999999999887e-01 1.183000000000000052e+00 1.393999999999999906e+00 1.459999999999999964e+00 1.504999999999999893e+00 9.703000000000000513e-01 1.340000000000000045e-02 3.503600000000000136e+01 2.311499999999999844e+01 1.869800000000000040e+01 1.444500000000000028e+01 2.558594355515971870e+02
4.050000000000000266e-01 1.038999999999999924e+00 1.225000000000000089e+00 1.221000000000000085e+00 1.336000000000000076e+00 9.137999999999999456e-01 1.359999999999999924e-02 2.282999999999999829e+01 3.138800000000000168e+01 5.591000000000000192e+00 3.568999999999999950e+00 2.808894204775380672e+02
2.570000000000000062e-01 9.959999999999999964e-01 1.207999999999999963e+00 8.679999999999999938e-01 9.190000000000000391e-01 9.444000000000000172e-01 1.770000000000000046e-02 2.530999999999999872e+01 2.988100000000000023e+01 3.459000000000000075e+00 5.408999999999999808e+00 2.096838821399203425e+02
1.100000000000000006e-01 5.600000000000000533e-01 7.840000000000000302e-01 8.369999999999999662e-01 8.950000000000000178e-01 9.357999999999999652e-01 1.789999999999999925e-02 4.733400000000000318e+01 2.310999999999999943e+01 7.285000000000000142e+00 4.857000000000000206e+00 1.930602647444036961e+02
2.079999999999999905e-01 5.430000000000000382e-01 6.480000000000000204e-01 1.338000000000000078e+00 1.469000000000000083e+00 9.105999999999999650e-01 1.290000000000000001e-02 2.389399999999999835e+01 3.261200000000000188e+01 1.253800000000000026e+01 3.309000000000000163e+00 2.826057464949039968e+02
4.460000000000000075e-01 1.056000000000000050e+00 1.288000000000000034e+00 7.950000000000000400e-01 8.980000000000000204e-01 8.860000000000000098e-01 1.729999999999999941e-02 7.570099999999999341e+01 3.163599999999999923e+01 4.991999999999999993e+00 4.764000000000000234e+00 2.345183623820558978e+02
1.183999999999999941e+00 1.266000000000000014e+00 2.120000000000000107e+00 1.700000000000000122e-01 1.125000000000000000e+00 1.476000000000000090e-01 8.899999999999999925e-03 2.202299999999999969e+01 4.363600000000000279e+01 5.038000000000000256e+00 3.888999999999999790e+00 3.632359221697893190e+02
4.000000000000000222e-01 1.219000000000000083e+00 1.318000000000000060e+00 1.258999999999999897e+00 1.302999999999999936e+00 9.656000000000000139e-01 1.439999999999999961e-02 4.357000000000000028e+01 3.500800000000000267e+01 4.862000000000000099e+00 3.427999999999999936e+00 2.719161736914729772e+02
9.849999999999999867e-01 1.768000000000000016e+00 2.249000000000000110e+00 8.870000000000000107e-01 1.120000000000000107e+00 7.915999999999999703e-01 1.389999999999999916e-02 2.108200000000000074e+01 3.094099999999999895e+01 7.099999999999999645e+00 5.761000000000000121e+00 3.093931492479912322e+02
4.789999999999999813e-01 1.195000000000000062e+00 2.017999999999999794e+00 5.500000000000000444e-01 6.939999999999999503e-01 7.923999999999999932e-01 2.000000000000000042e-02 3.407099999999999795e+01 4.815699999999999648e+01 5.362000000000000099e+00 4.402999999999999581e+00 1.927399695016561054e+02
2.340000000000000135e-01 7.600000000000000089e-01 1.786000000000000032e+00 8.439999999999999725e-01 1.052000000000000046e+00 8.025999999999999801e-01 1.460000000000000013e-02 5.384700000000000131e+01 4.746200000000000330e+01 4.486899999999999977e+01 4.248999999999999666e+00 2.130367864858365579e+02
2.969999999999999862e-01 1.219999999999999973e+00 1.766000000000000014e+00 1.713999999999999968e+00 1.877000000000000002e+00 9.132000000000000117e-01 1.159999999999999920e-02 5.105100000000000193e+01 2.956599999999999895e+01 8.101000000000000867e+00 3.533999999999999808e+00 2.940059981431999176e+02
4.380000000000000004e-01 1.159000000000000030e+00 3.540999999999999925e+00 6.889999999999999458e-01 9.569999999999999618e-01 7.196000000000000174e-01 1.469999999999999953e-02 2.534600000000000009e+01 2.010699999999999932e+01 9.596999999999999531e+00 5.096000000000000085e+00 2.102629070538452538e+02
1.647000000000000020e+00 3.692000000000000171e+00 3.942000000000000171e+00 5.739999999999999547e-01 6.039999999999999813e-01 9.515000000000000124e-01 2.479999999999999913e-02 2.137000000000000099e+01 2.063899999999999935e+01 4.025000000000000355e+00 3.843999999999999861e+00 2.447108509398503031e+02
5.470000000000000417e-01 9.639999999999999680e-01 1.197000000000000064e+00 4.959999999999999964e-01 6.209999999999999964e-01 7.995999999999999774e-01 2.210000000000000159e-02 1.163840000000000003e+02 2.626500000000000057e+01 3.350999999999999979e+00 3.894000000000000128e+00 2.173661321709113281e+02
7.920000000000000373e-01 1.991999999999999993e+00 2.105999999999999872e+00 6.630000000000000338e-01 6.860000000000000542e-01 9.663000000000000478e-01 2.249999999999999917e-02 2.440700000000000003e+01 2.792299999999999827e+01 6.256999999999999673e+00 5.455000000000000071e+00 2.228842397468341119e+02
8.529999999999999805e-01 1.542999999999999927e+00 2.765000000000000124e+00 1.002999999999999892e+00 1.536999999999999922e+00 6.525999999999999579e-01 1.009999999999999960e-02 2.403800000000000026e+01 3.229699999999999704e+01 6.583000000000000185e+00 9.782000000000000028e+00 3.204694489546324689e+02
2.409999999999999920e-01 6.740000000000000435e-01 9.829999999999999849e-01 1.312000000000000055e+00 1.536000000000000032e+00 8.544000000000000483e-01 1.209999999999999964e-02 2.330799999999999983e+01 2.107100000000000151e+01 1.433699999999999974e+01 3.169000000000000039e+00 2.758414346128642478e+02
2.620000000000000107e-01 1.038000000000000034e+00 1.143999999999999906e+00 1.409000000000000030e+00 1.451999999999999957e+00 9.705000000000000293e-01 1.359999999999999924e-02 2.002799999999999869e+01 6.542000000000000171e+01 4.685999999999999943e+00 5.910999999999999588e+00 2.664154079021492407e+02
